('be58ef12-b276-4cc5-bc6d-60d1bbd1386b', 'Abarth', 'Абарт', 'Италия', false),
('1f9e75d7-9080-46bf-bfa1-7595948fdb10', 'Packard', 'Паккард', 'США', false),
('d3a2443a-c624-4fe1-a59f-327770720bcc', 'Pagani', 'Пагани', 'Италия', false),
('7accc142-0743-49eb-806e-dfbdd17d5886', 'Panoz', 'Паноз', 'США', false),
('6ab077bf-8848-42fd-aeb1-7edd508fe0e4', 'Perodua', 'Перодуа', 'Малайзия', false),
('bbe70a21-a8f8-4550-8861-594ab5ebff71', 'Peugeot', 'Пежо', 'Франция', true),
('c63daa88-64a3-4740-920b-7a59f3bb0eb1', 'PGO', 'ПГО', 'Франция', false),
('2e9108cf-e7ba-4cb9-a213-22cff8348fe0', 'Piaggio', 'Пьяджо', 'Италия', false),
('204c3a40-6d74-4ce9-a7ef-64af906516a1', 'Pierce-Arrow', 'Пирс-Арроу', 'США', false),
('a39b14ce-bb83-42e3-b225-74b8c806467e', 'Plymouth', 'Плимут', 'США', false),
('beb77e31-e144-48ff-8bce-5b35c2c22b3c', 'Polar Stone (Jishi)', 'Полар Стоун', 'Китай', false),
('0b8300a7-f7f1-4788-8294-d1eecfd857fa', 'Polestar', 'Полестар', 'Швеция', false),
('4cdc363f-d3e1-4aa2-b692-f366d0c795a6', 'Pontiac', 'Понтиак', 'США', false),
('6d5bb3b1-bc92-4ed4-a9cb-6978ba7868ef', 'Porsche', 'Порше', 'Германия', true),
('546441ff-86dd-4d6c-8bce-93d921d4c1b8', 'Premier', 'Премьер', 'Индия', false),
('2848c3c3-8c55-4857-93f3-10a534daf3e8', 'Спортивные авто и реплики', 'Спортивные авто и Реплики', 'Россия', false),
('18741876-55cc-40f5-9228-3d02bc55ca9f', 'Proton', 'Протон', 'Малайзия', false),
('54734126-fbb2-4baa-8cbf-fc0293bfddbc', 'Puch', 'Пух', 'Германия', false),
('f8fae020-26e0-4850-b3f0-6a9d69727082', 'Puma', 'Пума', 'Бразилия', false),
('c829d3bc-12b9-4dc5-827f-1539828cf9ce', 'Punk', 'Панк', 'Китай', false),
('6bd404c6-d87f-48d0-ba10-9cb014f9f25c', 'Qiantu', 'Кианту', 'Китай', false),
('84bba5a8-e9ff-4be4-b9f9-9dacd4b9138b', 'Qingling', 'Цинлин', 'Китай', false),
('a5783cec-7971-426d-b49b-0d0583ab4535', 'Qoros', 'Куорос', 'Китай', false),
('b5d09328-2ebf-4033-964e-c462ebebff48', 'Qvale', 'Куали', 'Италия', false),
('4eed40d9-a20a-4329-ba49-b830d1708286', 'Radar', 'Радар', 'Китай', false),
('4893c013-bfb7-4261-8e52-af9f7841d035', 'Radford', 'Радфорд', 'Великобритания', false),
('02d82c4a-cab4-4a88-a20c-5c7f738935e1', 'Ram', 'Рам', 'США', false),
('92635217-2772-4200-815f-1412c5636a09', 'Ravon', 'Равон', 'Узбекистан', false),
('b09d2d12-1147-47e5-bf40-7979e1e8d8d7', 'Rayton Fissore', 'Рэйтон Физзоре', 'Италия', false),
('492130c4-c911-466e-ba39-278cc279427b', 'Reliant', 'Релайент', 'Великобритания', false),
('f4817b9f-2447-4f43-abe1-3dbd86c744f2', 'Renaissance', 'Ренессанс', 'США', false),
('7ab6e94d-d4c4-4a94-a639-aca5c2c82f97', 'Renault', 'Рено', 'Франция', true),
('371b6628-0a2e-403a-9312-a6b3161a26e4', 'Rezvani', 'резвани', 'США', false),
('b67c93f6-3c4e-4121-af13-5fbaebe807d4', 'Rimac', 'Римак', 'Хорватия', false),
('ef050c1b-dec6-492a-b10c-01c7c84dfba8', 'Rinspeed', 'Ринспид', 'Швейцария', false),
('46d46048-f70f-4af1-bf15-1d0987a81e98', 'Rising Auto', 'Райзинг Авто', 'Китай', false),
('f5dae23a-d527-4a0e-94f3-b39df270f20c', 'Rivian', 'Ривиан', 'США', false),
('eed5fe03-ac08-4ca8-b093-8fe466c97745', 'Roewe', 'Роев', 'Китай', false),
('b84908b4-c531-48f3-9cae-a6afcb924f42', 'Rolls-Royce', 'Роллс-Ройс', 'Великобритания', false),
('7f239c2b-91d1-4a05-98c6-ccfbbc21012c', 'Ronart', 'Ронарт', 'Великобритания', false),
('e9952ba6-1338-4658-978f-23461de61d38', 'Rossa', 'Росса', 'Россия', false),
('e1ec26e0-6f09-48ec-9baf-cddbeae8ae35', 'Rover', 'Ровер', 'Великобритания', false),
('c046248e-72b1-43ae-8971-45d80f1f980a', 'Rox', 'Рокс', 'Китай', false),
('422b98cf-741f-4656-86a4-4f1f979bd038', 'Руссо-Балт', 'Руссо-Балт', 'Россия', false),
('ea0e58f1-adb3-458e-9a0c-9879125bac76', 'Saab', 'Сааб', 'Швеция', false),
('ff61fbfe-cfea-49f8-b19f-14edfc28ddcf', 'Saipa', 'Сайпа', 'Иран', false),
('cb032948-a8c7-4e79-9964-d7120889f41e', 'Saleen', 'Салин', 'США', false),
('91ca4ac3-8c5b-41bf-abb1-5168c113d14c', 'Renault Samsung', 'Рено Самсунг', 'Южная Корея', false),
('94286abd-df0c-480e-b962-d39039928da5', 'Sandstorm', 'Сандсторм', 'Объединённые Арабские Эмираты', false),
('632a110a-4a84-4be7-9268-77d277161c03', 'Santana', 'Сантана', 'Испания', false),
('b5a42ce5-4ab2-4610-bc26-1b68bd4ee5b6', 'Saturn', 'Сатурн', 'США', false),
('4c8aff0d-919a-4519-9198-8052c4dd8c08', 'Scion', 'Сайон', 'США', false),
('2a302bdb-452c-4ea3-aa89-40ca4f5ab291', 'Scout', 'Скаут', 'США', false),
('72739c7c-9600-4f32-8596-ff2a9cc045d8', 'Sears', 'Сирс', 'США', false),
('2c8ae5dd-5368-4553-9296-afa104aa73a3', 'SEAT', 'Сеат', 'Испания', false),
('772af7c7-b386-4032-829a-88869a0c4f22', 'Seres', 'Серес', 'Китай', false),
('60329422-e949-4840-93d7-6ad2af3a1fa3', 'Shanghai Maple', 'Шанхай Мапл', 'Китай', false),
('c11a4da6-571f-46af-afc5-05095121e141', 'ShuangHuan', 'Шунган', 'Китай', false),
('fc2e1853-a2fc-4110-b9fd-f3831c8e75a8', 'Simca', 'Симка', 'Франция', false),
('682745e4-b023-494a-9375-b73880ff60b6', 'Skoda', 'Шкода', 'Чехия', true),
('e71372eb-ce60-48cf-a5f2-41e3378c4b85', 'Skywell', 'Скайвэлл', 'Китай', false),
('e84947e7-90ba-4720-a5cc-75c88fc03600', 'Skyworth', 'Скайворт', 'Китай', false),
('8bc25d50-80ff-463b-880d-6659249db2f0', 'Smart', 'Смарт', 'Германия', false),
('96feadd7-b7cf-4c9a-a370-67b304daf909', 'СМЗ', 'СМЗ', 'Россия', false),
('e2c1e490-4c22-4816-8e06-91b3cf86026e', 'Solaris', 'Солярис', 'Россия', false),
('3f03f497-625b-4557-99c5-9c241a858d87', 'Sollers', 'Соллерс', 'Россия', false),
('d83ed97c-e184-4cdc-868c-8550d8cdafb0', 'Soueast', 'Соуист', 'Китай', false),
('3d06e400-337d-4829-9388-a21ee202b2a3', 'Spectre', 'Спектр', 'Великобритания', false),
('86e3b7a2-4d3f-4d47-90da-ca4aeda838b4', 'Spyker', 'Спайкер', 'Дания', false),
('16ddd3b5-1646-46ae-8732-7f33f21f3df0', 'SsangYong', 'Ссанъён', 'Южная Корея', false),
('7b530cbb-6b7e-4b7b-9969-574ec7dedb93', 'Stelato', 'стелато', 'Китай', false),
('34151f9d-37a6-47f2-ab11-7b3bf881ea2e', 'Steyr', 'Штайр', 'Австрия', false),
('0bbb649d-e731-425d-b165-471674c0fb93', 'Studebaker', 'Студебейкер', 'США', false),
('6b28930e-7968-457e-beb2-d809b8b9314a', 'Subaru', 'Субару', 'Япония', true),
('1be43be1-fec8-4f3f-b2c4-2ea1c7d8d1e5', 'Suzuki', 'Сузуки', 'Япония', true),
('63f468bf-8efc-4851-85df-c79a5de3b8f1', 'SWM', 'СВМ', 'Китай', false),
('0a93f480-48ba-435f-bf85-3cadabb8715d', 'ТагАЗ', 'ТагАЗ', 'Россия', false),
('1aeb0aee-3b84-4f0c-a54a-18d984bf294b', 'Talbot', 'Толбет', 'Великобритания', false),
('00357d34-f4d8-444b-99cf-55e378e7b427', 'Tank', 'Танк', 'Китай', false),
('3d8f7cfb-3827-4a3e-bd8a-667e039e2da2', 'Tata', 'ТАТА', 'Индия', false),
('7da65fc3-4998-4ddc-9a53-cdc1999e596e', 'Tatra', 'Татра', 'Чехия', false),
('70b2bd94-6d48-4ea5-af9f-78eb30e784ae', 'Tazzari', 'Таззари', 'Италия', false),
('bd34ceb6-f7f3-4a1b-8c63-1878bb307043', 'Tenet', 'Тенет', 'Россия', false),
('1ecda4fc-8a16-4d3f-bde6-03f0f84b25cd', 'Tesla', 'Тесла', 'США', false),
('df9c9ca2-f4ca-42ce-97d8-d19bb8778901', 'Thairung', 'Тайрунг', 'Таиланд', false),
('817ad256-e795-4fa8-87e1-9937ed6c65ab', 'Think', 'Синк', 'Норвегия', false),
('4dc33a85-a98e-4460-96f7-9b12c5ab42d8', 'Tianma', 'Тианма', 'Китай', false),
('79a5f3bb-d7c4-48c5-8c0d-d4287dbfe099', 'Tianye', 'Тианье', 'Китай', false),
('418a54e9-c0ce-48b2-aa26-7f3463bf32cd', 'Tofas', 'Тофаш', 'Турция', false),
('2c1a5144-8d11-4308-9ea7-bc287d99a684', 'Toyota', 'Тойота', 'Япония', true),
('9307034b-51a3-40ea-be4d-6e8897466267', 'Trabant', 'Трабант', 'Германия', false),
('86e2cff2-00bd-4aac-93ad-e31f454716e2', 'Tramontana', 'Трамонтана', 'Испания', false),
('7239a335-2dd7-4ca4-882a-56312d25a0ec', 'Triumph', 'Триумф', 'Великобритания', false),
('e4655a56-806f-4336-9947-0f641c1c36d6', 'GAC Trumpchi', 'Трампчи', 'Китай', false),
('d1ece123-681d-48e9-96c8-0ac457a6f66c', 'TVR', 'ТВР', 'Великобритания', false),
('60781437-8aaa-4216-8a4d-c46c17827965', 'УАЗ', 'УАЗ', 'Россия', false),
('338dbbb5-17f9-43da-a81b-2d8385d5c940', 'Ultima', 'Ультима', 'Великобритания', false),
('5fc95016-baf7-410d-8cf9-3a89bc51fd09', 'Vauxhall', 'Воксхолл', 'Великобритания', false),
('b40f78e7-bbd2-4400-a93e-f5b2935f4893', 'Lada (ВАЗ)', 'Лада', 'Россия', true),
('477d239b-a5c4-4ad0-a316-d71db5ac1ab1', 'Vector', 'Вектор', 'США', false),
('b52f0ba3-5af7-45a0-b5ca-e25d39d2310f', 'Venturi', 'Вентури', 'Франция', false),
('f407eaa2-b3ab-416f-bed5-5602d98aaeb5', 'Venucia', 'Венуция', 'Китай', false),
('00535e12-674f-4b2d-8c59-24018d8a0b15', 'VGV', 'ВГВ', 'Китай', false),
('f04ab561-8e50-4b2c-921a-9b0f1aaa75cd', 'VinFast', 'Винфаст', 'Вьетнам', false),
('e97a0f9e-bbeb-4475-b24e-f96e99247276', 'Volga', 'Волга', 'Россия', false),
('ffc50861-1f18-458f-a8a7-4d752a43ea40', 'Volkswagen', 'Фольксваген', 'Германия', true),
('f3d135c5-edde-4ec9-b657-77247ff9349e', 'Volvo', 'Вольво', 'Швеция', true),
('3f866c1b-8c10-4f7b-a010-0669a84c83e1', 'Vortex', 'Вортекс', 'Россия', false),
('083c67df-019e-4cd8-802f-edbb7f3b7f41', 'Voyah', 'Воя', 'Китай', false),
('5f936c87-2fe0-45d3-81bf-dc966cf67c47', 'VUHL', 'Вухл', 'Мексика', false),
('51242d72-9e24-4161-9a1f-50464a3ccada', 'Wanderer', 'Вандерер', 'Германия', false),
('08f50a4e-a308-4308-af14-159aab5d145f', 'Wartburg', 'Вартбург', 'Германия', false),
('9b6af5d5-b8af-44d9-b162-72a9ca3bda18', 'Weltmeister', 'Велтмейстер', 'Китай', false),
('ab8ab9df-83b1-4e2f-810a-d3315881c970', 'Westfield', 'Вестфилд', 'Великобритания', false),
('e1663e89-7c89-4459-80c3-ca1af93b63fb', 'Wey', 'Вей', 'Китай', false),
('619ba962-0505-4e37-94a5-59e8729241eb', 'Wiesmann', 'Вайсман', 'Германия', false),
('e0c22265-78ef-43cd-ac9c-a2bd26caf2f3', 'Willys', 'Виллис', 'США', false),
('15ed1d2f-a8bc-42f8-a272-841f9e1ab6eb', 'Wuling', 'Вулинг', 'Китай', false),
('51da9369-7e79-4998-b32f-549fe79b54c4', 'W Motors', 'дабл-ю моторс', 'Объединённые Арабские Эмираты', false),
('512eb2fd-737a-4a20-a784-d97ad62b6d68', 'Xcite', 'Иксайт', 'Россия', false),
('fdd241ee-8c99-4c0a-9d61-33dd149fb4f2', 'XEV', 'Ксев', 'Италия', false),
('8b17f1ab-f41a-4502-a199-7b41184e3a9a', 'Xiaomi', 'Ксиоми', 'Китай', false),
('c05f4bc2-2877-43f3-9322-0aa570152122', 'Xin Kai', 'Ксин Кай', 'Китай', false),
('ff66dbd1-83ae-4fe8-b4ba-d97c60ad03d9', 'Xpeng', 'Икспенг', 'Китай', false),
('3d017866-ea9d-42d8-9235-99bf4b76d5dd', 'Yema', 'Йема', 'Китай', false),
('10f47993-6b0b-4e67-9255-f9d45636df84', 'Yipai', 'Ипай', 'Китай', false),
('dc2f46e9-6b0e-4a99-830e-570f34dd1af0', 'Yulon', 'Юлон', 'Тайвань', false),
('5832599a-3ac5-4c3d-82b6-e115f5cb2920', 'Zastava', 'Застава', 'Сербия', false),
('c9056b39-5201-4f8e-86a4-2703d389c13b', 'ЗАЗ', 'ЗАЗ', 'Украина', false),
('46e840ce-c8c3-49f0-90d4-b2321299bc93', 'Zeekr', 'Зикр', 'Китай', false),
('04c877e7-f144-409d-bdf6-3e46686bbc64', 'Zenos', 'Зенос', 'Великобритания', false),
('6d6b1f82-93a5-495e-9acf-5f83aa12794a', 'Zenvo', 'Зенво', 'Дания', false),
('720cbd71-0971-4c67-b8f3-2b30fc053441', 'Zhido', 'Циду', 'Китай', false),
('f0ff0adc-41cb-4c7f-8ff7-18654287c683', 'Zibar', 'Зибар', 'Израиль', false),
('afc20f0a-8906-47bb-860e-8c1e2569d25a', 'ЗИЛ', 'ЗИЛ', 'Россия', false),
('f2039fae-a9da-481b-aca9-3af5f4089467', 'ЗиС', 'ЗиС', 'Россия', false),
('ef782386-d9d4-4cb7-830a-f8f37951f35f', 'Zotye', 'Зоти', 'Китай', false),
('c9a644f2-88f5-424c-8e1e-872fbbdac956', 'ZX', 'ЗХ', 'Китай', false)
